station_id,station_reason,temperature_obs,time_utc,timestamp_pipeline,wind_obs
SN30247,fallback_data,8.7,2026-05-10 18:40:00+00:00,2026-05-10 18:57:21.862687+00:00,
SN30247,fallback_data,8.2,2026-05-10 18:50:00+00:00,2026-05-10 19:59:18.772777+00:00,
SN30247,fallback_data,7.5,2026-05-10 19:00:00+00:00,2026-05-10 19:59:18.772778+00:00,
SN30247,fallback_data,7.0,2026-05-10 19:10:00+00:00,2026-05-10 19:59:18.772779+00:00,
SN30247,fallback_data,6.7,2026-05-10 19:20:00+00:00,2026-05-10 19:59:18.772779+00:00,
SN30247,fallback_data,6.5,2026-05-10 19:30:00+00:00,2026-05-10 19:59:18.772780+00:00,
SN30247,fallback_data,6.3,2026-05-10 19:40:00+00:00,2026-05-10 19:59:18.772781+00:00,
SN30247,fallback_data,6.2,2026-05-10 19:50:00+00:00,2026-05-10 20:56:43.071437+00:00,
SN30247,fallback_data,6.0,2026-05-10 20:00:00+00:00,2026-05-10 20:56:43.071438+00:00,
SN30247,fallback_data,5.8,2026-05-10 20:10:00+00:00,2026-05-10 20:56:43.071439+00:00,
SN30247,fallback_data,5.6,2026-05-10 20:20:00+00:00,2026-05-10 20:56:43.071440+00:00,
SN30247,fallback_data,5.8,2026-05-10 20:30:00+00:00,2026-05-10 20:56:43.071441+00:00,
SN30247,fallback_data,5.7,2026-05-10 20:40:00+00:00,2026-05-10 20:56:43.071442+00:00,
SN30247,fallback_data,5.7,2026-05-10 20:50:00+00:00,2026-05-10 21:47:04.169412+00:00,
SN30247,fallback_data,6.1,2026-05-10 21:00:00+00:00,2026-05-10 21:47:04.169413+00:00,
SN30247,fallback_data,5.7,2026-05-10 21:10:00+00:00,2026-05-10 21:47:04.169414+00:00,
SN30247,fallback_data,5.5,2026-05-10 21:20:00+00:00,2026-05-10 21:47:04.169414+00:00,
SN30247,fallback_data,5.2,2026-05-10 21:30:00+00:00,2026-05-10 22:42:47.947055+00:00,
SN30247,fallback_data,4.9,2026-05-10 21:40:00+00:00,2026-05-10 22:42:47.947056+00:00,
SN30247,fallback_data,4.8,2026-05-10 21:50:00+00:00,2026-05-10 22:42:47.947057+00:00,
SN30247,fallback_data,4.6,2026-05-10 22:00:00+00:00,2026-05-10 22:42:47.947058+00:00,
SN30247,fallback_data,4.4,2026-05-10 22:10:00+00:00,2026-05-10 22:42:47.947059+00:00,
SN30247,fallback_data,4.1,2026-05-10 22:20:00+00:00,2026-05-10 22:42:47.947060+00:00,
SN30247,fallback_data,3.9,2026-05-10 22:30:00+00:00,2026-05-10 23:48:57.877917+00:00,
SN30247,fallback_data,4.5,2026-05-10 22:40:00+00:00,2026-05-10 23:48:57.877917+00:00,
SN30247,fallback_data,4.8,2026-05-10 22:50:00+00:00,2026-05-10 23:48:57.877918+00:00,
SN30247,fallback_data,4.6,2026-05-10 23:00:00+00:00,2026-05-10 23:48:57.877919+00:00,
SN30247,fallback_data,3.7,2026-05-10 23:10:00+00:00,2026-05-10 23:48:57.877920+00:00,
SN30247,fallback_data,3.5,2026-05-10 23:20:00+00:00,2026-05-10 23:48:57.877920+00:00,
SN30247,fallback_data,2.8,2026-05-10 23:30:00+00:00,2026-05-10 23:48:57.877921+00:00,
SN30247,fallback_data,2.4,2026-05-10 23:40:00+00:00,2026-05-11 02:47:07.925633+00:00,
SN30247,fallback_data,2.0,2026-05-10 23:50:00+00:00,2026-05-11 02:47:07.925634+00:00,
SN30247,fallback_data,1.9,2026-05-11 00:00:00+00:00,2026-05-11 02:47:07.925635+00:00,
SN30247,fallback_data,1.6,2026-05-11 00:10:00+00:00,2026-05-11 02:47:07.925636+00:00,
SN30247,fallback_data,1.4,2026-05-11 00:20:00+00:00,2026-05-11 02:47:07.925637+00:00,
SN30247,fallback_data,1.2,2026-05-11 00:30:00+00:00,2026-05-11 02:47:07.925638+00:00,
SN30247,fallback_data,1.0,2026-05-11 00:40:00+00:00,2026-05-11 02:47:07.925639+00:00,
SN30247,fallback_data,0.7,2026-05-11 00:50:00+00:00,2026-05-11 02:47:07.925640+00:00,
SN30247,fallback_data,0.7,2026-05-11 01:00:00+00:00,2026-05-11 02:47:07.925641+00:00,
SN30247,fallback_data,0.3,2026-05-11 01:10:00+00:00,2026-05-11 02:47:07.925642+00:00,
SN30247,fallback_data,0.0,2026-05-11 01:20:00+00:00,2026-05-11 02:47:07.925643+00:00,
SN30247,fallback_data,0.0,2026-05-11 01:30:00+00:00,2026-05-11 02:47:07.925644+00:00,
SN30247,fallback_data,-0.1,2026-05-11 01:40:00+00:00,2026-05-11 02:47:07.925645+00:00,
